2023-03-16 10:57:43 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-16 10:57:43 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-16 10:57:43 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.068s)
2023-03-16 10:57:43 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-16 10:57:43 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.004s)
2023-03-16 10:57:43 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-16 10:57:43 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.086s) * 
2023-03-16 12:16:08 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-16 12:16:08 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.016s)
2023-03-16 12:16:08 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-16 12:16:08 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-16 12:16:08 | DEBUG   | module.tasks.BESS            | configure            |   42 | Configuring BESS asset ...
2023-03-16 12:16:08 | DEBUG   | module.tasks.BESS            | configure            |   47 |  - parsing DC-side parameters
2023-03-16 12:16:08 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.000s)
2023-03-16 12:16:08 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-16 12:16:08 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-16 12:16:08 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-16 12:16:08 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.074s)
2023-03-16 12:16:08 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-16 12:16:08 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.003s)
2023-03-16 12:16:08 | WARNING | __main__                     | <module>             |  191 | Optimal
2023-03-16 12:16:08 | INFO    | __main__                     | <module>             |  219 |  * Day 1 of 1 ... OK! (-0.095s) * 
2023-03-16 14:26:14 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-16 14:26:14 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.012s)
2023-03-16 14:26:14 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-16 14:26:14 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-16 14:26:14 | DEBUG   | module.tasks.BESS            | configure            |   42 | Configuring BESS asset ...
2023-03-16 14:26:14 | DEBUG   | module.tasks.BESS            | configure            |   47 |  - parsing DC-side parameters
2023-03-16 14:26:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.000s)
